RpdID,PlanStringID,Subject,DepartmentID,PlanID,SpecialtyCipher
5355,2051542,Фильтры и согласующие цепи сверхвысоких частот,22,5917,11.04.03
3613,2051572,Экономика организации,19,5918,11.05.01
10705,2051581,Безопасность жизнедеятельности,39,5918,11.05.01
3874,2051592,Измерения на сверхвысоких частотах,28,5918,11.05.01
4741,2051601,Учебная практика (ознакомительная практика),28,5918,11.05.01
5323,2051609,Электропреобразовательные устройства радиоэлектронных средств,22,5918,11.05.01
6770,2051627,Введение в специальность,27,5918,11.05.01
6774,2051629,Организация учебного процесса в вузе,27,5918,11.05.01
3678,2051635,Алгебра и геометрия,5,5919,01.03.02
3679,2051636,Математический анализ,5,5919,01.03.02
10802,2051640,Экология,7,5919,01.03.02
3458,2051641,Экономика,19,5919,01.03.02
3432,2051645,Базы данных,14,5919,01.03.02
10684,2051647,Безопасность жизнедеятельности,39,5919,01.03.02
3595,2051680,Учебная практика (технологическая (проектно-технологическая) практика),14,5919,01.03.02
3599,2051681,Производственная практика (преддипломная практика),14,5919,01.03.02
