ОбразовательнаяПрограмма,ГруппаВакансий,КлючевоеТребование,КраткоеОписание,Дисциплина,Аннотация
Математические методы в информационных технологиях,Data Scientist,Python,Язык программирования,Информатика,"Основные сведения для изучения базовых концепций языка программирования Python: стандартные типы данных, функции и методы их обработки. Изучается интегрированная среда разработки PyCharm для Python."
Математические методы в информационных технологиях,Data Scientist,Python,Язык программирования,Информационные технологии,"Ознакомление с основными определениями и техниками программирования, в частности изучается объектно­ориентированное и функциональное программирование с практическими примерами на Python."
Математические методы в информационных технологиях,Data Scientist,Python,Язык программирования,Объектно­ориентированное программирование,"Дисциплина предназначена для приобретения студентами теоретических знаний и практических навыков профессионального программирования на основе объектно­ориентированного представления сущностей предметной области, задаваемой решаемой задачей."
Математические методы в информационных технологиях,Data Scientist,SQL,Язык программирования,Базы данных,Подробно изучается язык SQL.
Математические методы в информационных технологиях,Data Scientist,Machine Learning (ML),Подраздел искусственного интеллекта,Математические основы машинного обучения,"Курс должен подготовить специалистов в области анализа данных и машинного обучения, владеющих теоретическими основами методов машинного обучения, обладающих навыками построения обучающихся моделей с использованием современных программных средств и способных применять методы машинного обучения для решения прикладных задач."
Математические методы в информационных технологиях,Data Scientist,Machine Learning (ML),Подраздел искусственного интеллекта,Информационные технологии,Рассматривается введение в классические задачи машинного обучения
Математические методы в информационных технологиях,Data Scientist,Machine Learning (ML),Подраздел искусственного интеллекта,Машинное обучение с подкреплением,"Машинное обучение с подкреплением ­ является подразделом машинного обучения, который изучает алгоритмы, способные решать задачи искусственного интеллекта методом проб и ошибок, без использования каких-либо априорных знаний о решаемой задаче."
Математические методы в информационных технологиях,Data Scientist,Machine Learning (ML),Подраздел искусственного интеллекта,Обработка аудиосигналов,"Рассматриваются основные понятия машинного обучения: постановки задач обучения, методы подготовки данных для обучения, принципы обучения, методы статистического анализа обучающих данных и результатов обучения, методы оценки качества обученных моделей. Слушатели подробно знакомятся с алгоритмами машинного обучения, решающие задачи кластеризации, классификации, регрессии, снижения размерности. В число изучаемых алгоритмов классификации входят алгоритмы ближайшего соседа, SVM, байесовские методы, деревья решений."
Математические методы в информационных технологиях,Data Scientist,Pandas,Библиотека Python,Информационные технологии,Изучаются основы предварительной обработки данных с помощью модуля pandas.
Математические методы в информационных технологиях,Data Scientist,Pandas,Библиотека Python,Большие данные,Приобретаются практические навыки анализа Больших данных. Все занятия дисциплины подкреплены примерами.
Математические методы в информационных технологиях,Data Scientist,Numpy,Библиотека Python,Большие данные,Приобретаются практические навыки анализа Больших данных. Все занятия дисциплины подкреплены примерами.
Математические методы в информационных технологиях,Data Scientist,Spark,"Распределенная вычислительная система, предназначенная для обработки больших объемов данных",Большие данные,"Изучаются основные парадигмы распределенной обработки данных. В рамках дисциплины рассматриваются средства для работы с данными различного вида: структурированными, псевдоструктурированными, не­структурированными, потоковыми, распределенными и другими."
Математические методы в информационных технологиях,Data Scientist,Python,Язык программирования,Информатика,"Основные сведения для изучения базовых концепций языка программирования Python: стандартные типы данных, функции и методы их обработки. Изучается интегрированная среда разработки PyCharm для Python."
Математические методы в информационных технологиях,Data Scientist,Python,Язык программирования,Информационные технологии,"Ознакомление с основными определениями и техниками программирования, в частности изучается объектно­ориентированное и функциональное программирование с практическими примерами на Python."
Математические методы в информационных технологиях,Data Scientist,Python,Язык программирования,Объектно­ориентированное программирование,"Дисциплина предназначена для приобретения студентами теоретических знаний и практических навыков профессионального программирования на основе объектно­ориентированного представления сущностей предметной области, задаваемой решаемой задачей."
Математические методы в информационных технологиях,Data Scientist,SQL,Язык программирования,Базы данных,Подробно изучается язык SQL.
Математические методы в информационных технологиях,Data Scientist,Machine Learning (ML),Подраздел искусственного интеллекта,Математические основы машинного обучения,"Курс должен подготовить специалистов в области анализа данных и машинного обучения, владеющих теоретическими основами методов машинного обучения, обладающих навыками построения обучающихся моделей с использованием современных программных средств и способных применять методы машинного обучения для решения прикладных задач."
Математические методы в информационных технологиях,Data Scientist,Machine Learning (ML),Подраздел искусственного интеллекта,Информационные технологии,Рассматривается введение в классические задачи машинного обучения
Математические методы в информационных технологиях,Data Scientist,Machine Learning (ML),Подраздел искусственного интеллекта,Машинное обучение с подкреплением,"Машинное обучение с подкреплением ­ является подразделом машинного обучения, который изучает алгоритмы, способные решать задачи искусственного интеллекта методом проб и ошибок, без использования каких-либо априорных знаний о решаемой задаче."
Математические методы в информационных технологиях,Data Scientist,Machine Learning (ML),Подраздел искусственного интеллекта,Обработка аудиосигналов,"Рассматриваются основные понятия машинного обучения: постановки задач обучения, методы подготовки данных для обучения, принципы обучения, методы статистического анализа обучающих данных и результатов обучения, методы оценки качества обученных моделей. Слушатели подробно знакомятся с алгоритмами машинного обучения, решающие задачи кластеризации, классификации, регрессии, снижения размерности. В число изучаемых алгоритмов классификации входят алгоритмы ближайшего соседа, SVM, байесовские методы, деревья решений."
Математические методы в информационных технологиях,Data Scientist,Pandas,Библиотека Python,Информационные технологии,Изучаются основы предварительной обработки данных с помощью модуля pandas.
Математические методы в информационных технологиях,Data Scientist,Pandas,Библиотека Python,Большие данные,Приобретаются практические навыки анализа Больших данных. Все занятия дисциплины подкреплены примерами.
Математические методы в информационных технологиях,Data Scientist,Numpy,Библиотека Python,Большие данные,Приобретаются практические навыки анализа Больших данных. Все занятия дисциплины подкреплены примерами.
Математические методы в информационных технологиях,Data Scientist,Spark,"Распределенная вычислительная система, предназначенная для обработки больших объемов данных",Большие данные,"Изучаются основные парадигмы распределенной обработки данных. В рамках дисциплины рассматриваются средства для работы с данными различного вида: структурированными, псевдоструктурированными, не­структурированными, потоковыми, распределенными и другими."
Математические методы в информационных технологиях,BI-аналитик,SQL,Язык программирования,Базы данных,Подробно изучается язык SQL.
Математические методы в информационных технологиях,BI-аналитик,MS Excel,"Навыки работы с программой Excel для анализа данных, создания отчетов, калькуляций и визуализации информации",/Не выявлено/,
Математические методы в информационных технологиях,BI-аналитик,Python,Язык программирования,Информатика,"Основные сведения для изучения базовых концепций языка программирования Python: стандартные типы данных, функции и методы их обработки. Изучается интегрированная среда разработки PyCharm для Python."
Математические методы в информационных технологиях,BI-аналитик,Python,Язык программирования,Информационные технологии,"Ознакомление с основными определениями и техниками программирования, в частности изучается объектно­ориентированное и функциональное программирование с практическими примерами на Python."
Математические методы в информационных технологиях,BI-аналитик,Python,Язык программирования,Объектно-ориентированное программирование,"Дисциплина предназначена для приобретения студентами теоретических знаний и практических навыков профессионального программирования на основе объектно-ориентированного представления сущностей предметной области, задаваемой решаемой задачей."
Математические методы в информационных технологиях,BI-аналитик,Power BI,"Бизнес-аналитический инструмент, который позволяет собирать, анализировать и визуализировать данные в удобной форме для принятия бизнес-решений",/Не выявлено/,
Математические методы в информационных технологиях,BI-аналитик,Big Data,Работа с большими данными,Большие данные,"Данный курс обеспечивает теоретические и практические знания в области методов и инструментов работы с Большими данными. Программа курса включает в себя изучение понятия Больших данных, особенностей работы с ними и средств, обеспечивающих их масштабируемый анализ."
Математические методы в информационных технологиях,BI-аналитик,Анализ данных,"Навыки работы с большими объемами данных, а также умение применять статистические методы и инструменты для извлечения значимой информации из этих данных",Математические основы машинного обучения,"Знакомство с основами машинного обучения, включая дискриминантный, кластерный и регрессионный анализ, овладение навыками практического решения задач интеллектуального анализа данных."
Математические методы в информационных технологиях,BI-аналитик,Анализ данных,"Навыки работы с большими объемами данных, а также умение применять статистические методы и инструменты для извлечения значимой информации из этих данных",Информационные технологии,"В рамках раздела «ведение в анализ данных» студенты знакомятся с основными понятиями и определениями, рассматривается введение в классические задачи машинного обучения, изучаются основы предварительной обработки данных."
Математические методы в информационных технологиях,BI-аналитик,SQL,Язык программирования,Базы данных,Подробно изучается язык SQL.
Математические методы в информационных технологиях,BI-аналитик,MS Excel,"Навыки работы с программой Excel для анализа данных, создания отчетов, калькуляций и визуализации информации",/Не выявлено/,
Математические методы в информационных технологиях,BI-аналитик,Python,Язык программирования,Информатика,"Основные сведения для изучения базовых концепций языка программирования Python: стандартные типы данных, функции и методы их обработки. Изучается интегрированная среда разработки PyCharm для Python."
Математические методы в информационных технологиях,BI-аналитик,Python,Язык программирования,Информационные технологии,"Ознакомление с основными определениями и техниками программирования, в частности изучается объектно­ориентированное и функциональное программирование с практическими примерами на Python."
Математические методы в информационных технологиях,BI-аналитик,Python,Язык программирования,Объектно-ориентированное программирование,"Дисциплина предназначена для приобретения студентами теоретических знаний и практических навыков профессионального программирования на основе объектно-ориентированного представления сущностей предметной области, задаваемой решаемой задачей."
Математические методы в информационных технологиях,BI-аналитик,Power BI,"Бизнес-аналитический инструмент, который позволяет собирать, анализировать и визуализировать данные в удобной форме для принятия бизнес-решений",/Не выявлено/,
Математические методы в информационных технологиях,BI-аналитик,Big Data,Работа с большими данными,Большие данные,"Данный курс обеспечивает теоретические и практические знания в области методов и инструментов работы с Большими данными. Программа курса включает в себя изучение понятия Больших данных, особенностей работы с ними и средств, обеспечивающих их масштабируемый анализ."
Математические методы в информационных технологиях,BI-аналитик,Анализ данных,"Навыки работы с большими объемами данных, а также умение применять статистические методы и инструменты для извлечения значимой информации из этих данных",Математические основы машинного обучения,"Знакомство с основами машинного обучения, включая дискриминантный, кластерный и регрессионный анализ, овладение навыками практического решения задач интеллектуального анализа данных."
Математические методы в информационных технологиях,BI-аналитик,Анализ данных,"Навыки работы с большими объемами данных, а также умение применять статистические методы и инструменты для извлечения значимой информации из этих данных",Информационные технологии,"В рамках раздела «ведение в анализ данных» студенты знакомятся с основными понятиями и определениями, рассматривается введение в классические задачи машинного обучения, изучаются основы предварительной обработки данных."
Математические методы в информационных технологиях,Бизнес-аналитик,BPMN,Нотация моделирования бизнес-процессов (стандартный язык графического представления бизнес-процессов),/Не выявлено/,
Математические методы в информационных технологиях,Бизнес-аналитик,Бизнес-анализ (Business Analysis),"Знания и навыки в области бизнес-анализа - понимание процессов и методологий бизнес-анализа, умение проводить анализ бизнес-требований, определять и документировать потребности и цели бизнеса и др.",/Не выявлено/,
Математические методы в информационных технологиях,Бизнес-аналитик,UML,"Унифицированный язык моделирования, который используется для визуализации, проектирования и документирования систем",/Не выявлено/,
Математические методы в информационных технологиях,Бизнес-аналитик,Моделирование бизнес-процессов,"Навыки моделирования бизнес-процессов (создавать модели, описывающие бизнес-процессы)",/Не выявлено/,
Математические методы в информационных технологиях,Бизнес-аналитик,BPMN,Нотация моделирования бизнес-процессов (стандартный язык графического представления бизнес-процессов),/Не выявлено/,
Математические методы в информационных технологиях,Бизнес-аналитик,Бизнес-анализ (Business Analysis),"Знания и навыки в области бизнес-анализа - понимание процессов и методологий бизнес-анализа, умение проводить анализ бизнес-требований, определять и документировать потребности и цели бизнеса и др.",/Не выявлено/,
Математические методы в информационных технологиях,Бизнес-аналитик,UML,"Унифицированный язык моделирования, который используется для визуализации, проектирования и документирования систем",/Не выявлено/,
Математические методы в информационных технологиях,Бизнес-аналитик,Моделирование бизнес-процессов,"Навыки моделирования бизнес-процессов (создавать модели, описывающие бизнес-процессы)",/Не выявлено/,
Математические методы в информационных технологиях,Системный аналитик,BPMN,Нотация моделирования бизнес-процессов (стандартный язык графического представления бизнес-процессов),/Не выявлено/,
Математические методы в информационных технологиях,Системный аналитик,SQL,Язык программирования,Базы данных,Подробно изучается язык SQL
Математические методы в информационных технологиях,Системный аналитик,UML,"Унифицированный язык моделирования, который используется для визуализации, проектирования и документирования систем",/Не выявлено/,
Математические методы в информационных технологиях,Системный аналитик,REST,"Архитектурный стиль для разработки распределенных систем, в котором взаимодействие между клиентом и сервером основано на передаче и обработке данных через стандартные методы протокола HTTP. REST стал популярным подходом для разработки веб-сервисов и API, используемых во многих приложениях.",/Не выявлено/,
Математические методы в информационных технологиях,Системный аналитик,Системный анализ,"Системный анализ включает в себя методологию, инструменты и подходы, направленные на анализ и понимание сложных системных взаимосвязей, процессов, структур и функций организации или проекта",/Не выявлено/,
Математические методы в информационных технологиях,Системный аналитик,SOAP,"Протокол обмена структурированными данными, используемый в веб-сервисах",/Не выявлено/,
Математические методы в информационных технологиях,Системный аналитик,API,"Набор готовых функций и инструментов, предоставляемых разработчикам программного обеспечения для взаимодействия с определенным программным обеспечением и использования его возможностей.",Основы промышленной разработки программного обеспечения,"Изучение методов проектирования программного продукта, использования инструментальных средств, поддерживающих создание программного обеспечения. Организация и планирование разработки программных систем, использованием стандартов и систем автоматизации разработки программных продуктов."
Математические методы в информационных технологиях,Системный аналитик,BPMN,Нотация моделирования бизнес-процессов (стандартный язык графического представления бизнес-процессов),/Не выявлено/,
Математические методы в информационных технологиях,Системный аналитик,SQL,Язык программирования,Базы данных,Подробно изучается язык SQL
Математические методы в информационных технологиях,Системный аналитик,UML,"Унифицированный язык моделирования, который используется для визуализации, проектирования и документирования систем",/Не выявлено/,
Математические методы в информационных технологиях,Системный аналитик,REST,"Архитектурный стиль для разработки распределенных систем, в котором взаимодействие между клиентом и сервером основано на передаче и обработке данных через стандартные методы протокола HTTP. REST стал популярным подходом для разработки веб-сервисов и API, используемых во многих приложениях.",/Не выявлено/,
Математические методы в информационных технологиях,Системный аналитик,Системный анализ,"Системный анализ включает в себя методологию, инструменты и подходы, направленные на анализ и понимание сложных системных взаимосвязей, процессов, структур и функций организации или проекта",/Не выявлено/,
Математические методы в информационных технологиях,Системный аналитик,SOAP,"Протокол обмена структурированными данными, используемый в веб-сервисах",/Не выявлено/,
Математические методы в информационных технологиях,Системный аналитик,API,"Набор готовых функций и инструментов, предоставляемых разработчикам программного обеспечения для взаимодействия с определенным программным обеспечением и использования его возможностей.",Основы промышленной разработки программного обеспечения,"Изучение методов проектирования программного продукта, использования инструментальных средств, поддерживающих создание программного обеспечения. Организация и планирование разработки программных систем, использованием стандартов и систем автоматизации разработки программных продуктов."
Математические методы в информационных технологиях,Frontend-разработчик,JavaScript (JS),"Язык программирования, который применяется для создания динамических веб-страниц",/Не выявлено/,
Математические методы в информационных технологиях,Frontend-разработчик,CSS,"Язык разметки, используемый для описания внешнего вида и форматирования документа, написанного на языке разметки, таком как HTML или XML",/Не выявлено/,
Математические методы в информационных технологиях,Frontend-разработчик,HTML,Язык разметки для создания веб-страниц и структурирования их содержимого,/Не выявлено/,
Математические методы в информационных технологиях,Frontend-разработчик,Git,Система контроля версий,Учебная практика (технологическая (проектно­технологическая) практика),В процессе учебной практики студенты осваивают работу с системой управления версиями и репозиторием.
Математические методы в информационных технологиях,Frontend-разработчик,React,"Библиотека JavaScript, которая используется для создания пользовательских интерфейсов",/Не выявлено/,
Математические методы в информационных технологиях,Frontend-разработчик,TypeScript,"Язык программирования, который является надмножеством языка JavaScript, добавляет статическую типизацию, классы и модули к языку JavaScript",/Не выявлено/,
Математические методы в информационных технологиях,Frontend-разработчик,Vue (Vue.js),Библиотека JavaScript для создания пользовательских интерфейсов,/Не выявлено/,
Математические методы в информационных технологиях,Frontend-разработчик,REST,"Архитектурный стиль для разработки распределенных систем, в котором взаимодействие между клиентом и сервером основано на передаче и обработке данных через стандартные методы протокола HTTP. REST стал популярным подходом для разработки веб-сервисов и API, используемых во многих приложениях.",/Не выявлено/,
Математические методы в информационных технологиях,Frontend-разработчик,JavaScript (JS),"Язык программирования, который применяется для создания динамических веб-страниц",/Не выявлено/,
Математические методы в информационных технологиях,Frontend-разработчик,CSS,"Язык разметки, используемый для описания внешнего вида и форматирования документа, написанного на языке разметки, таком как HTML или XML",/Не выявлено/,
Математические методы в информационных технологиях,Frontend-разработчик,HTML,Язык разметки для создания веб-страниц и структурирования их содержимого,/Не выявлено/,
Математические методы в информационных технологиях,Frontend-разработчик,Git,Система контроля версий,Учебная практика (технологическая (проектно­технологическая) практика),В процессе учебной практики студенты осваивают работу с системой управления версиями и репозиторием.
Математические методы в информационных технологиях,Frontend-разработчик,React,"Библиотека JavaScript, которая используется для создания пользовательских интерфейсов",/Не выявлено/,
Математические методы в информационных технологиях,Frontend-разработчик,TypeScript,"Язык программирования, который является надмножеством языка JavaScript, добавляет статическую типизацию, классы и модули к языку JavaScript",/Не выявлено/,
Математические методы в информационных технологиях,Frontend-разработчик,Vue (Vue.js),Библиотека JavaScript для создания пользовательских интерфейсов,/Не выявлено/,
Математические методы в информационных технологиях,Frontend-разработчик,REST,"Архитектурный стиль для разработки распределенных систем, в котором взаимодействие между клиентом и сервером основано на передаче и обработке данных через стандартные методы протокола HTTP. REST стал популярным подходом для разработки веб-сервисов и API, используемых во многих приложениях.",/Не выявлено/,
Математические методы в информационных технологиях,Backend-разработчик,SQL,Язык программирования,Базы данных,Подробно изучается язык SQL
Математические методы в информационных технологиях,Backend-разработчик,Git,Система контроля версий,Учебная практика (технологическая (проектно­технологическая) практика),В процессе учебной практики студенты осваивают работу с системой управления версиями и репозиторием.
Математические методы в информационных технологиях,Backend-разработчик,PostgreSQL,Объектно-реляционная система управления базами данных (СУБД),Базы данных,"Дисциплина посвящена знакомству с основными понятиями баз данных и моделями данных, используемыми в системах управления базами данных, изучению методов проектирования баз данных и реализации прикладного программного обеспечения на базе современных СУБД. Изучается объектно-реляционное отображение."
Математические методы в информационных технологиях,Backend-разработчик,PHP,"Язык программирования, который используется для разработки веб-приложений и динамических веб-сайтов",Объектно-ориентированное программирование,"Дисциплина предназначена для приобретения студентами теоретических знаний и практических навыков профессионального программирования на основе объектно-ориентированного представления сущностей предметной области, задаваемой решаемой задачей."
Математические методы в информационных технологиях,Backend-разработчик,API,"Набор готовых функций и инструментов, предоставляемых разработчикам программного обеспечения для взаимодействия с определенным программным обеспечением и использования его возможностей.",Основы промышленной разработки программного обеспечения,"Изучение методов проектирования программного продукта, использования инструментальных средств, поддерживающих создание программного обеспечения. Организация и планирование разработки программных систем, использованием стандартов и систем автоматизации разработки программных продуктов."
